,socio1_0,socio2_0,socio2[other]_0
0,Australia,Male,
1,Australia,Male,
2,Australia,Male,
3,Australia,Male,
5,Australia,Male,
6,Australia,Male,
7,Australia,Female,
8,Australia,Male,
10,Australia,Male,
11,Australia,Prefer not to say,
12,Australia,Male,
13,Australia,Male,
14,Australia,Female,
15,Australia,Male,
17,Australia,Male,
18,Australia,Male,
20,Australia,Male,
21,Australia,Female,
22,Australia,Male,
24,Australia,Female,
25,Australia,Female,
26,Australia,Prefer not to say,
27,Australia,Female,
28,Australia,Male,
29,Australia,Male,
30,Australia,Male,
31,Australia,Male,
32,Australia,Male,
34,Australia,Male,
35,Australia,Male,
36,Australia,Female,genderqueer
37,Australia,Female,
38,Australia,Male,
39,Australia,Male,
40,Australia,Male,
41,Australia,Male,
42,Australia,Male,
43,Australia,Male,
44,Australia,Male,
45,Australia,Male,
46,Australia,Male,
47,Australia,Male,
48,Australia,Male,
49,Australia,Male,
50,Australia,Male,
51,Australia,Male,
52,Australia,Male,
53,Australia,Male,
54,Australia,Male,
55,Australia,Male,
57,Australia,Female,
58,Australia,Male,
59,Australia,Female,
60,Australia,Male,
62,Australia,Male,
63,Australia,Male,
64,Australia,Male,
65,Australia,Female,
66,Australia,Male,
67,Australia,Male,
68,Australia,Male,
69,Australia,Male,
70,Australia,Female,
72,Australia,Male,
76,Australia,Male,
77,Australia,Male,
78,Australia,Male,
79,Australia,Male,
80,Australia,Male,
81,Australia,Male,
82,Australia,Male,
83,Australia,Male,
84,Australia,Male,
85,Australia,Male,
86,Australia,Male,
87,Australia,Male,
88,Australia,Male,
90,Australia,Male,
91,Australia,Prefer not to say,
93,Australia,Male,
94,Australia,Male,
95,Australia,Male,
97,Australia,Male,
98,Australia,Male,
99,Belgium,Male,
100,Belgium,Male,
101,Belgium,Male,
103,Botswana,Male,
104,Botswana,Male,
106,Brazil,Male,
107,Brazil,Female,
121,Czech Republic,Male,
122,Czech Republic,Male,
123,Czech Republic,Male,
124,Czech Republic,Male,
126,Denmark,Male,
127,Denmark,Male,
128,Denmark,Male,
129,Ethiopia,Male,
130,France,Male,
132,France,Female,
136,Germany,Male,
137,Germany,Male,
138,Germany,Male,
139,Germany,Male,
140,Germany,Male,
141,Germany,Male,
142,Germany,Male,
143,Germany,Male,
144,Germany,Female,
145,Germany,Male,
146,Germany,Male,
147,Germany,Male,
148,Germany,Male,
149,Germany,Male,
150,Germany,Male,
151,Germany,Male,
153,Germany,Male,
154,Germany,Male,
155,Germany,Male,
156,Germany,Male,
157,Germany,Male,
158,Germany,Male,
160,Germany,Female,
161,Germany,Male,
162,Germany,Female,
163,Germany,Male,
164,Germany,Male,
165,Germany,Male,
166,Germany,Male,
168,Germany,Male,
170,Germany,Prefer not to say,
171,Germany,Male,
172,Germany,Prefer not to say,
173,Germany,Male,
174,Germany,Male,
175,Germany,Male,
176,Germany,Male,
177,Germany,Male,
178,Germany,Male,
180,Germany,Male,
181,Germany,Male,
182,Germany,Male,
183,Germany,Male,
184,Germany,Male,Genderfluid
185,Germany,Male,
186,Germany,Male,
187,Germany,Male,
189,Germany,Male,
190,Germany,Male,
191,Germany,Male,
192,Germany,Male,
193,Germany,Male,
194,Germany,Female,
195,Germany,Prefer not to say,
196,Germany,Female,
198,Germany,Male,
199,Germany,Male,
200,Germany,Male,
201,Germany,Male,
202,Germany,Male,
203,Germany,Male,
204,Germany,Female,
206,Germany,Female,
207,Germany,Male,
209,Germany,Male,
210,Germany,Male,
211,Germany,Male,
212,Germany,Male,
213,Germany,Male,
214,Germany,Male,
215,Germany,Male,
216,Germany,Male,
217,Germany,Male,
218,Germany,Male,
219,Germany,Male,
220,Germany,Male,
221,Germany,Male,
223,Germany,Male,
224,Germany,Male,
225,Germany,Male,
227,Germany,Male,
229,Germany,Male,
230,Germany,Male,
231,Germany,Male,
232,Germany,Male,
233,Germany,Male,
235,Germany,Male,
236,Germany,Male,
237,Germany,Male,
238,Germany,Male,
239,Germany,Male,
240,Germany,Male,
241,Germany,Male,
242,Germany,Male,
244,Germany,Female,
245,Germany,Female,
246,Germany,Male,
247,Germany,Male,
248,Germany,Male,
249,Germany,Male,
250,Germany,Male,
251,Germany,Male,
252,Germany,Male,
253,Germany,Male,
254,Germany,Male,
255,Germany,Male,
256,Germany,Male,
257,Germany,Male,
258,Germany,Male,
259,Germany,Male,
261,Germany,Male,
262,Germany,Female,
264,Germany,Female,
265,Germany,Male,
267,Germany,Male,
268,Germany,Male,
269,Germany,Male,
270,Germany,Male,
271,Germany,Male,
272,Germany,Prefer not to say,
274,Germany,Male,
275,Germany,Male,
276,Germany,Male,
277,Germany,Male,
278,Germany,Male,
280,Germany,Female,
281,Germany,Male,
282,Germany,Male,
283,Germany,Male,
284,Germany,Male,
285,Germany,Male,
287,Germany,Male,
288,Germany,Male,
289,Germany,Male,
290,Germany,Male,
291,Germany,Male,
292,Germany,Male,
293,Germany,Male,
294,Germany,Male,
296,Germany,Male,
297,Germany,Male,
298,Germany,Female,
300,Germany,Male,
301,Germany,Male,
302,Germany,Male,
303,Germany,Male,
304,Germany,Male,
306,Germany,Male,
307,Germany,Male,
308,Germany,Male,
309,Germany,Male,
310,Germany,Male,
311,Germany,Male,
312,Germany,Male,
313,Germany,Male,
314,Germany,Male,
315,Germany,Male,
318,Germany,Male,
319,Germany,Male,
320,Germany,Male,
321,Germany,Male,
322,Germany,Male,
324,Germany,Male,
325,Germany,Male,
326,Germany,Male,
327,Germany,Male,
329,Germany,Male,
330,Germany,Female,
331,Germany,Male,
332,Germany,Male,
335,Germany,Male,
336,Germany,Female,
337,Germany,Male,
339,Germany,Male,
340,Germany,Female,
341,Germany,Male,
342,Germany,Male,
343,Germany,Male,
344,Germany,Female,
345,Germany,Male,
346,Germany,Male,
347,Germany,Male,
348,Germany,Male,
349,Germany,Male,
350,Germany,Prefer not to say,
351,Germany,Male,
352,Germany,Male,
353,Germany,Female,
354,Germany,Male,
355,Germany,Female,
356,Germany,Prefer not to say,
357,Germany,Male,
358,Germany,Male,
359,Germany,Male,
360,Germany,Male,
361,Germany,Male,
362,Germany,Female,
363,Germany,Male,
366,Germany,Male,
367,Germany,Male,
368,Germany,Male,
369,Germany,Male,
370,Germany,Male,
371,Germany,Male,
372,Germany,Prefer not to say,
373,Germany,Male,
374,Germany,Male,
375,Germany,Male,
376,Germany,Male,
377,Germany,Male,
378,Germany,Male,
380,Germany,Male,
382,Germany,Male,
383,Germany,Male,
384,Germany,Male,
387,Germany,Male,
388,Germany,Male,
389,Germany,Male,
390,Germany,Male,
391,Germany,Male,
392,Germany,Male,
393,Germany,Male,
394,Germany,Male,
396,Germany,Female,
397,Germany,Male,
398,Germany,Male,
399,Germany,Prefer not to say,
400,Germany,Male,
401,Germany,Male,
402,Germany,Male,
403,Germany,Male,
406,Germany,Male,
407,Germany,Male,
409,Germany,Male,
411,Germany,Male,
413,Germany,Male,
416,Germany,Male,
417,Germany,Male,
418,Germany,Male,
419,Germany,Male,
420,Germany,Male,
421,Germany,Male,
422,Germany,Male,
423,Germany,Female,
424,Germany,Male,
425,Germany,Male,
426,Germany,Prefer not to say,
427,Germany,Male,
428,Germany,Female,
429,Germany,Male,
431,Germany,Male,
433,Germany,Male,
434,Germany,Male,
435,Germany,Male,
436,Germany,Male,
438,Germany,Male,
439,Germany,Female,
440,Germany,Male,
442,Germany,Prefer not to say,
443,Germany,Male,
444,Germany,Male,
445,Germany,Male,
446,Germany,Prefer not to say,
447,Germany,Female,
448,Germany,Male,
449,Germany,Male,
450,Germany,Female,
451,Germany,Male,
452,Germany,Male,
453,Germany,Male,
454,Germany,Male,
456,Germany,Female,
457,Germany,Male,
458,Germany,Male,
459,Germany,Male,
460,Germany,Male,
461,Germany,Male,
462,Germany,Male,
464,Germany,Male,
465,Germany,Male,
466,Germany,Male,
468,Greece,Male,
469,India,Male,
471,Ireland,Male,
472,Italy,Male,
473,Italy,Male,
476,Japan,Male,
477,Malawi,Male,
479,Netherlands,Male,
480,Netherlands,Male,
481,Netherlands,Male,
482,Netherlands,Prefer not to say,
483,Netherlands,Male,
484,Netherlands,Male,
485,Netherlands,Male,
487,Netherlands,Male,
488,Netherlands,Female,
489,Netherlands,Male,
491,Netherlands,Male,
492,Netherlands,Male,
493,Netherlands,Male,
494,Netherlands,Male,
495,Netherlands,Male,
496,Netherlands,Male,
497,Netherlands,Male,
498,Netherlands,Male,
499,Netherlands,Male,
500,Netherlands,Male,
501,Netherlands,Male,
502,Netherlands,Male,
503,Netherlands,Male,
504,Netherlands,Male,
505,Netherlands,Male,
506,Netherlands,Male,
507,Netherlands,Male,
508,Netherlands,Male,
509,Netherlands,Male,
511,Netherlands,Male,
512,Netherlands,Female,
513,Netherlands,Male,
514,Netherlands,Male,
515,Netherlands,Male,
516,Netherlands,Male,
517,Netherlands,Male,
518,Netherlands,Male,
519,Netherlands,Male,
520,Netherlands,Male,
521,Netherlands,Male,
522,Netherlands,Female,
523,Netherlands,Male,
524,Netherlands,Male,
525,Netherlands,Male,
526,Netherlands,Male,
527,Netherlands,Prefer not to say,
530,Netherlands,Male,
531,Netherlands,Female,
532,Netherlands,Male,
533,New Zealand,Male,
534,New Zealand,Male,
535,New Zealand,Male,
536,New Zealand,Female,
537,New Zealand,Male,
538,New Zealand,Male,
539,New Zealand,Male,
540,New Zealand,Male,
541,New Zealand,Male,
542,New Zealand,Male,
543,New Zealand,Male,
544,New Zealand,Male,
545,New Zealand,Male,
546,New Zealand,Male,
547,New Zealand,Male,
548,New Zealand,Female,
549,New Zealand,Male,
550,New Zealand,Male,
551,New Zealand,Female,
552,New Zealand,Male,
554,New Zealand,Male,
555,New Zealand,Male,
556,New Zealand,Male,
558,New Zealand,Male,
559,New Zealand,Male,
560,New Zealand,Male,
561,New Zealand,Male,
562,New Zealand,Male,
563,New Zealand,Male,
564,New Zealand,Male,
565,New Zealand,Male,
567,New Zealand,Male,
568,New Zealand,Male,
569,New Zealand,Male,
570,Nigeria,Male,
571,Norway,Female,
572,Norway,Male,
573,Norway,Male,
575,Norway,Male,
576,Norway,Male,
577,Poland,Male,
578,Portugal,Male,
580,Saudi Arabia,Male,
581,South Africa,Male,
582,South Africa,Male,
583,South Africa,Male,
584,South Africa,Male,
585,South Africa,Male,
586,South Africa,Female,
587,South Africa,Female,
588,South Africa,Male,
590,South Africa,Male,
592,South Africa,Male,
593,South Africa,Male,
594,South Africa,Male,
595,South Africa,Male,
596,South Africa,Male,
598,South Africa,Male,
599,South Africa,Male,
601,South Africa,Male,
602,South Africa,Male,
603,South Africa,Male,
604,Spain,Male,
605,Spain,Male,
606,Spain,Male,
607,Spain,Male,
610,Switzerland,Male,
611,Switzerland,Male,
612,Turkey,Male,
613,United Kingdom,Male,
614,United Kingdom,Male,
615,United Kingdom,Male,
616,United Kingdom,Male,
617,United Kingdom,Male,
618,United Kingdom,Male,
619,United Kingdom,Male,
620,United Kingdom,Male,
621,United Kingdom,Male,
622,United Kingdom,Male,
623,United Kingdom,Male,
624,United Kingdom,Female,
625,United Kingdom,Male,
626,United Kingdom,Male,
628,United Kingdom,Female,
629,United Kingdom,Male,
630,United Kingdom,Male,
631,United Kingdom,Male,
632,United Kingdom,Male,
633,United Kingdom,Female,
634,United Kingdom,Male,
636,United Kingdom,Male,
637,United Kingdom,Female,
638,United Kingdom,Female,
639,United Kingdom,Male,
640,United Kingdom,Female,
641,United Kingdom,Female,
643,United Kingdom,Male,
644,United Kingdom,Female,
645,United Kingdom,Male,agender/non-binary
646,United Kingdom,Male,
647,United Kingdom,Male,
648,United Kingdom,Male,
649,United Kingdom,Male,
650,United Kingdom,Male,
651,United Kingdom,Male,
653,United Kingdom,Male,
654,United Kingdom,Male,
655,United Kingdom,Male,
656,United Kingdom,Male,
658,United Kingdom,Male,
659,United Kingdom,Male,
660,United Kingdom,Female,
661,United Kingdom,Male,
662,United Kingdom,Male,
663,United Kingdom,Female,
664,United Kingdom,Male,
665,United Kingdom,Male,
666,United Kingdom,Male,
667,United Kingdom,Male,
668,United Kingdom,Male,
669,United Kingdom,Male,
670,United Kingdom,Male,
671,United Kingdom,Male,
672,United Kingdom,Female,
673,United Kingdom,Male,
674,United Kingdom,Male,
675,United Kingdom,Female,
676,United Kingdom,Male,
677,United Kingdom,Female,
678,United Kingdom,Male,
680,United Kingdom,Female,
681,United Kingdom,Male,
682,United Kingdom,Other,
683,United Kingdom,Male,
684,United Kingdom,Male,
685,United Kingdom,Male,
686,United Kingdom,Male,
689,United Kingdom,Prefer not to say,
691,United Kingdom,Prefer not to say,
692,United Kingdom,Male,
693,United Kingdom,Male,
695,United Kingdom,Male,
696,United Kingdom,Male,
697,United Kingdom,Female,
698,United Kingdom,Male,
699,United Kingdom,Male,
700,United Kingdom,Female,
701,United Kingdom,Prefer not to say,
702,United Kingdom,Male,
703,United Kingdom,Male,
704,United Kingdom,Male,
705,United Kingdom,Male,
706,United Kingdom,Male,
707,United Kingdom,Male,
708,United Kingdom,Male,
710,United Kingdom,Male,
711,United Kingdom,Male,
712,United Kingdom,Male,
715,United Kingdom,Male,
716,United Kingdom,Male,
717,United Kingdom,Male,
718,United Kingdom,Male,
719,United Kingdom,Male,
720,United Kingdom,Male,
721,United Kingdom,Male,
722,United Kingdom,Male,
723,United Kingdom,Male,
726,United Kingdom,Male,
727,United Kingdom,Male,
728,United Kingdom,Male,
729,United Kingdom,Female,
730,United Kingdom,Male,
731,United Kingdom,Male,
732,United Kingdom,Male,
733,United Kingdom,Male,
734,United Kingdom,Male,
735,United Kingdom,Male,
736,United Kingdom,Female,
737,United Kingdom,Male,
738,United Kingdom,Male,
739,United Kingdom,Male,
740,United Kingdom,Male,
741,United Kingdom,Male,
742,United Kingdom,Male,
743,United Kingdom,Female,
744,United Kingdom,Male,
746,United Kingdom,Male,
747,United Kingdom,Female,
748,United Kingdom,Male,
749,United Kingdom,Prefer not to say,
750,United Kingdom,Male,
751,United Kingdom,Male,
754,United Kingdom,Male,
755,United Kingdom,Prefer not to say,
756,United Kingdom,Male,
757,United Kingdom,Male,
758,United Kingdom,Male,
759,United Kingdom,Male,
760,United Kingdom,Male,
761,United Kingdom,Male,
762,United Kingdom,Male,
763,United Kingdom,Male,
764,United Kingdom,Male,
765,United Kingdom,Male,
766,United Kingdom,Male,
767,United Kingdom,Male,
768,United Kingdom,Male,
769,United Kingdom,Male,
770,United Kingdom,Male,
771,United Kingdom,Male,
772,United Kingdom,Male,
773,United Kingdom,Male,
774,United Kingdom,Male,
775,United Kingdom,Male,
776,United Kingdom,Male,
778,United Kingdom,Female,
780,United Kingdom,Male,
781,United Kingdom,,Non-binary
782,United Kingdom,Male,
783,United Kingdom,Male,
785,United Kingdom,Male,
786,United Kingdom,Male,
787,United Kingdom,Male,
788,United Kingdom,Male,
789,United Kingdom,Male,
790,United Kingdom,Female,
792,United Kingdom,Prefer not to say,
793,United Kingdom,Female,
795,United Kingdom,Male,
796,United Kingdom,Male,
799,United Kingdom,Male,
800,United Kingdom,Male,
802,United Kingdom,Male,
803,United Kingdom,Male,
804,United Kingdom,Male,
805,United Kingdom,Male,
807,United Kingdom,Female,
808,United Kingdom,Male,
809,United Kingdom,Male,
810,United Kingdom,Male,
811,United Kingdom,Male,
812,United Kingdom,Male,
814,United Kingdom,Male,
815,United Kingdom,Male,
816,United Kingdom,Male,
817,United Kingdom,Male,
818,United Kingdom,Male,
819,United Kingdom,Male,
820,United Kingdom,Male,
821,United Kingdom,Male,
822,United Kingdom,Male,
823,United Kingdom,Male,
824,United Kingdom,Male,
825,United Kingdom,Prefer not to say,
826,United Kingdom,Male,
827,United Kingdom,Male,
829,United Kingdom,Male,
830,United Kingdom,Male,
831,United Kingdom,Female,
832,United Kingdom,Male,
833,United Kingdom,Prefer not to say,
834,United Kingdom,Female,
835,United Kingdom,Male,
837,United Kingdom,Prefer not to say,
838,United Kingdom,Male,
840,United Kingdom,Male,
841,United Kingdom,Female,
842,United Kingdom,Male,
844,United Kingdom,Female,
845,United Kingdom,Male,
846,United Kingdom,Prefer not to say,
847,United Kingdom,Female,
848,United Kingdom,Prefer not to say,
849,United States,Female,
850,United States,Other,
851,United States,Male,
852,United States,Male,
853,United States,Male,
854,United States,Male,
856,United States,Male,
857,United States,Female,
858,United States,Male,
859,United States,Male,
860,United States,Male,
861,United States,Female,
862,United States,Male,
863,United States,Male,
864,United States,Male,
865,United States,Female,
867,United States,Male,
868,United States,Female,
869,United States,Female,
870,United States,Male,
871,United States,Male,
872,United States,Male,
873,United States,Male,
874,United States,Male,
875,United States,Other,
876,United States,Male,
877,United States,Male,
878,United States,Male,
879,United States,Female,
880,United States,Male,
881,United States,Prefer not to say,
883,United States,Male,
884,United States,Male,
885,United States,Male,
886,United States,Male,
887,United States,Male,
888,United States,Male,
889,United States,Male,
890,United States,Male,
892,United States,Male,
893,United States,Male,
894,United States,Male,
895,United States,Male,
896,United States,Male,
897,United States,Male,
898,United States,Male,
899,United States,Female,
900,United States,Female,
901,United States,Male,
902,United States,Male,
903,United States,Male,
905,United States,Male,
906,United States,Male,
908,United States,Female,
910,United States,Male,
911,United States,Male,
912,United States,Female,
913,United States,Male,
915,United States,Male,
916,United States,Female,
917,United States,Male,
918,United States,Male,
920,United States,Female,
921,United States,Male,
922,United States,Male,
923,United States,Male,
924,United States,Male,
925,United States,Male,
926,United States,Male,
927,United States,Male,
928,United States,Prefer not to say,
929,United States,Male,
931,United States,Female,
932,United States,Male,
933,United States,Male,
934,United States,Male,
935,United States,Male,
936,United States,Male,
937,United States,Male,
938,United States,Male,
939,United States,Male,
940,United States,Male,
941,United States,Female,
942,United States,Male,
943,United States,Male,
944,United States,Male,
945,United States,Male,
946,United States,Female,
948,United States,Male,
949,United States,Male,
950,United States,Female,
951,United States,Prefer not to say,
952,United States,Female,
953,United States,Female,
955,United States,Female,
956,United States,Other,
957,United States,Female,
958,United States,Male,
959,United States,Male,
960,United States,Male,
961,United States,Male,
962,United States,Female,
963,United States,Male,
964,United States,Male,
965,United States,Female,
966,United States,Male,
967,United States,Male,
968,United States,Male,
969,United States,Male,
970,United States,Male,
971,United States,Female,
972,United States,Female,
973,United States,Male,
974,United States,Male,
975,United States,Male,
976,United States,Female,
977,United States,Prefer not to say,
978,United States,Female,
979,United States,Male,
980,United States,Male,
981,United States,Male,
982,United States,Male,
983,United States,Male,
984,United States,Male,
985,United States,Male,
987,United States,Male,
988,United States,Female,
989,United States,Male,
990,United States,Male,
991,United States,Male,
992,United States,Male,
993,United States,Male,
994,United States,Male,
995,United States,Female,
